customerid,invoiceno,invoicedate,revenue
12583,536370,01-12-2010 08:45,90
12583,536370,01-12-2010 08:45,45
12583,536370,01-12-2010 08:45,10.2
12583,536370,01-12-2010 08:45,15.6
12583,536370,01-12-2010 08:45,40.8
12583,536370,01-12-2010 08:45,30
12583,536370,01-12-2010 08:45,53.1
12583,536370,01-12-2010 08:45,70.8
12583,536370,01-12-2010 08:45,46.8
12583,536370,01-12-2010 08:45,46.8
12583,536370,01-12-2010 08:45,46.8
12583,536370,01-12-2010 08:45,17
12583,536370,01-12-2010 08:45,39.6
12583,536370,01-12-2010 08:45,70.8
12583,536370,01-12-2010 08:45,45
12583,536370,01-12-2010 08:45,10.08
12583,536370,01-12-2010 08:45,10.08
12583,536370,01-12-2010 08:45,23.4
12583,536370,01-12-2010 08:45,54
13748,536371,01-12-2010 09:00,204
17850,536372,01-12-2010 09:01,11.1
17850,536372,01-12-2010 09:01,11.1
17850,536373,01-12-2010 09:02,15.3
17850,536373,01-12-2010 09:02,20.34
17850,536373,01-12-2010 09:02,22
17850,536373,01-12-2010 09:02,29.7
17850,536373,01-12-2010 09:02,6.36
17850,536373,01-12-2010 09:02,6.36
17850,536373,01-12-2010 09:02,6.36
17850,536373,01-12-2010 09:02,6.36
17850,536373,01-12-2010 09:02,9.9
17850,536373,01-12-2010 09:02,27.8
17850,536373,01-12-2010 09:02,12.6
17850,536373,01-12-2010 09:02,15.3
17850,536373,01-12-2010 09:02,20.34
17850,536373,01-12-2010 09:02,20.34
17850,536373,01-12-2010 09:02,15.3
17850,536373,01-12-2010 09:02,25.5
15100,536374,01-12-2010 09:09,350.4
17850,536375,01-12-2010 09:32,15.3
17850,536375,01-12-2010 09:32,20.34
17850,536375,01-12-2010 09:32,22
17850,536375,01-12-2010 09:32,29.7
17850,536375,01-12-2010 09:32,6.36
17850,536375,01-12-2010 09:32,6.36
17850,536375,01-12-2010 09:32,6.36
17850,536375,01-12-2010 09:32,9.9
17850,536375,01-12-2010 09:32,27.8
17850,536375,01-12-2010 09:32,12.6
17850,536375,01-12-2010 09:32,15.3
17850,536375,01-12-2010 09:32,20.34
17850,536375,01-12-2010 09:32,20.34
17850,536375,01-12-2010 09:32,15.3
17850,536375,01-12-2010 09:32,25.5
15291,536376,01-12-2010 09:32,165.6
15291,536376,01-12-2010 09:32,163.2
17850,536377,01-12-2010 09:34,11.1
17850,536377,01-12-2010 09:34,11.1
14688,536378,01-12-2010 09:37,19.5
14688,536378,01-12-2010 09:37,19.5
14688,536378,01-12-2010 09:37,29.5
14688,536378,01-12-2010 09:37,8.5
14688,536378,01-12-2010 09:37,45
14688,536378,01-12-2010 09:37,22.5
14688,536378,01-12-2010 09:37,10.2
14688,536378,01-12-2010 09:37,16.5
14688,536378,01-12-2010 09:37,15.3
14688,536378,01-12-2010 09:37,15.3
14688,536378,01-12-2010 09:37,50.4
14688,536378,01-12-2010 09:37,13.2
14688,536378,01-12-2010 09:37,13.2
14688,536378,01-12-2010 09:37,13.2
14688,536378,01-12-2010 09:37,17.7
14688,536378,01-12-2010 09:37,60
14688,536378,01-12-2010 09:37,36.48
14688,536378,01-12-2010 09:37,19.5
14688,536378,01-12-2010 09:37,19.5
17809,536380,01-12-2010 09:41,34.8
15311,536381,01-12-2010 09:41,97.75
15311,536381,01-12-2010 09:41,24.75
15311,536381,01-12-2010 09:41,19.5
15311,536381,01-12-2010 09:41,4.2
15311,536381,01-12-2010 09:41,7.5
15311,536381,01-12-2010 09:41,30
15311,536381,01-12-2010 09:41,30
15311,536381,01-12-2010 09:41,0.85
15311,536381,01-12-2010 09:41,2.55
15311,536381,01-12-2010 09:41,16.5
15311,536381,01-12-2010 09:41,5.07
15311,536381,01-12-2010 09:41,1.95
15311,536381,01-12-2010 09:41,4.2
15311,536381,01-12-2010 09:41,2.95
15311,536381,01-12-2010 09:41,2.95
15311,536381,01-12-2010 09:41,11.8
15311,536381,01-12-2010 09:41,2.95
15311,536381,01-12-2010 09:41,5.1
15311,536381,01-12-2010 09:41,3.75
15311,536381,01-12-2010 09:41,5.1
15311,536381,01-12-2010 09:41,0.85
15311,536381,01-12-2010 09:41,0.85
15311,536381,01-12-2010 09:41,1.45
15311,536381,01-12-2010 09:41,4.95
15311,536381,01-12-2010 09:41,5.9
15311,536381,01-12-2010 09:41,11.9
15311,536381,01-12-2010 09:41,11.9
15311,536381,01-12-2010 09:41,5.8
15311,536381,01-12-2010 09:41,2.95
15311,536381,01-12-2010 09:41,1.95
15311,536381,01-12-2010 09:41,3.3
15311,536381,01-12-2010 09:41,11.85
15311,536381,01-12-2010 09:41,38.16
16098,536382,01-12-2010 09:45,10.2
16098,536382,01-12-2010 09:45,19.8
16098,536382,01-12-2010 09:45,19.5
16098,536382,01-12-2010 09:45,21
16098,536382,01-12-2010 09:45,92.5
16098,536382,01-12-2010 09:45,23.6
16098,536382,01-12-2010 09:45,15
16098,536382,01-12-2010 09:45,71.4
16098,536382,01-12-2010 09:45,29.9
16098,536382,01-12-2010 09:45,29.9
16098,536382,01-12-2010 09:45,67.8
18074,536384,01-12-2010 09:53,19.35
18074,536384,01-12-2010 09:53,31.2
18074,536384,01-12-2010 09:53,19.8
18074,536384,01-12-2010 09:53,17.7
18074,536384,01-12-2010 09:53,35.4
18074,536384,01-12-2010 09:53,58
18074,536384,01-12-2010 09:53,102
18074,536384,01-12-2010 09:53,17.7
18074,536384,01-12-2010 09:53,25.5
18074,536384,01-12-2010 09:53,15.8
18074,536384,01-12-2010 09:53,17.85
18074,536384,01-12-2010 09:53,41.7
18074,536384,01-12-2010 09:53,87.6
17420,536385,01-12-2010 09:56,19.95
17420,536385,01-12-2010 09:56,17.4
17420,536385,01-12-2010 09:56,25.5
17420,536385,01-12-2010 09:56,19.5
17420,536385,01-12-2010 09:56,15
17420,536385,01-12-2010 09:56,17
17420,536385,01-12-2010 09:56,16.5
16029,536386,01-12-2010 09:57,178.2
16029,536386,01-12-2010 09:57,165
16029,536386,01-12-2010 09:57,165
16029,536387,01-12-2010 09:58,733.44
16029,536387,01-12-2010 09:58,647.04
16029,536387,01-12-2010 09:58,647.04
16029,536387,01-12-2010 09:58,626.4
16029,536387,01-12-2010 09:58,540
16250,536388,01-12-2010 09:59,17.85
16250,536388,01-12-2010 09:59,17.85
16250,536388,01-12-2010 09:59,15.9
16250,536388,01-12-2010 09:59,14.85
16250,536388,01-12-2010 09:59,12.75
16250,536388,01-12-2010 09:59,17.7
16250,536388,01-12-2010 09:59,19.8
16250,536388,01-12-2010 09:59,5.04
16250,536388,01-12-2010 09:59,10.2
16250,536388,01-12-2010 09:59,17.4
16250,536388,01-12-2010 09:59,10.2
16250,536388,01-12-2010 09:59,27
16250,536388,01-12-2010 09:59,19.8
16250,536388,01-12-2010 09:59,19.8
12431,536389,01-12-2010 10:03,51
12431,536389,01-12-2010 10:03,39.6
12431,536389,01-12-2010 10:03,15
12431,536389,01-12-2010 10:03,32.7
12431,536389,01-12-2010 10:03,25.4
12431,536389,01-12-2010 10:03,35.7
12431,536389,01-12-2010 10:03,17.85
12431,536389,01-12-2010 10:03,17
12431,536389,01-12-2010 10:03,15
12431,536389,01-12-2010 10:03,15
12431,536389,01-12-2010 10:03,17
12431,536389,01-12-2010 10:03,17
12431,536389,01-12-2010 10:03,39.6
12431,536389,01-12-2010 10:03,20.4
17511,536390,01-12-2010 10:19,102
17511,536390,01-12-2010 10:19,28.8
17511,536390,01-12-2010 10:19,163.2
17511,536390,01-12-2010 10:19,72.5
17511,536390,01-12-2010 10:19,51
17511,536390,01-12-2010 10:19,61.44
17511,536390,01-12-2010 10:19,61.44
17511,536390,01-12-2010 10:19,31.2
17511,536390,01-12-2010 10:19,46.08
17511,536390,01-12-2010 10:19,198
17511,536390,01-12-2010 10:19,102
17511,536390,01-12-2010 10:19,81.36
17511,536390,01-12-2010 10:19,90
17511,536390,01-12-2010 10:19,71.04
17511,536390,01-12-2010 10:19,120
17511,536390,01-12-2010 10:19,165
13705,536392,01-12-2010 10:29,11.7
13705,536392,01-12-2010 10:29,15
13705,536392,01-12-2010 10:29,15
13705,536392,01-12-2010 10:29,15
13705,536392,01-12-2010 10:29,165
13705,536392,01-12-2010 10:29,15
13705,536392,01-12-2010 10:29,15
13705,536392,01-12-2010 10:29,23.8
13705,536392,01-12-2010 10:29,27.04
13705,536392,01-12-2010 10:29,15.6
13747,536393,01-12-2010 10:37,79.6
13408,536394,01-12-2010 10:39,10.08
13408,536394,01-12-2010 10:39,177.6
13408,536394,01-12-2010 10:39,177.6
13408,536394,01-12-2010 10:39,177.6
13408,536394,01-12-2010 10:39,177.6
13408,536394,01-12-2010 10:39,59.4
13408,536394,01-12-2010 10:39,45
13408,536394,01-12-2010 10:39,60
13408,536394,01-12-2010 10:39,25.2
13408,536394,01-12-2010 10:39,81.6
13408,536394,01-12-2010 10:39,33
13767,536395,01-12-2010 10:47,31.6
13767,536395,01-12-2010 10:47,54.08
13767,536395,01-12-2010 10:47,13.2
13767,536395,01-12-2010 10:47,13.2
13767,536395,01-12-2010 10:47,13.2
13767,536395,01-12-2010 10:47,27.6
13767,536395,01-12-2010 10:47,16.8
13767,536395,01-12-2010 10:47,15
13767,536395,01-12-2010 10:47,30
13767,536395,01-12-2010 10:47,30
13767,536395,01-12-2010 10:47,30
13767,536395,01-12-2010 10:47,31.6
13767,536395,01-12-2010 10:47,100.8
13767,536395,01-12-2010 10:47,100.8
17850,536396,01-12-2010 10:51,15.3
17850,536396,01-12-2010 10:51,20.34
17850,536396,01-12-2010 10:51,22
17850,536396,01-12-2010 10:51,29.7
17850,536396,01-12-2010 10:51,29.7
17850,536396,01-12-2010 10:51,6.36
17850,536396,01-12-2010 10:51,6.36
17850,536396,01-12-2010 10:51,6.36
17850,536396,01-12-2010 10:51,6.36
17850,536396,01-12-2010 10:51,9.9
17850,536396,01-12-2010 10:51,27.8
17850,536396,01-12-2010 10:51,12.6
17850,536396,01-12-2010 10:51,30.6
17850,536396,01-12-2010 10:51,20.34
17850,536396,01-12-2010 10:51,20.34
17850,536396,01-12-2010 10:51,15.3
17850,536396,01-12-2010 10:51,71.5
17850,536396,01-12-2010 10:51,25.5
17924,536397,01-12-2010 10:51,55.8
17924,536397,01-12-2010 10:51,223.2
13448,536398,01-12-2010 10:52,6.96
13448,536398,01-12-2010 10:52,17.7
13448,536398,01-12-2010 10:52,27
13448,536398,01-12-2010 10:52,20.4
13448,536398,01-12-2010 10:52,51
13448,536398,01-12-2010 10:52,15.9
13448,536398,01-12-2010 10:52,25.2
13448,536398,01-12-2010 10:52,25.2
13448,536398,01-12-2010 10:52,25.2
13448,536398,01-12-2010 10:52,15
13448,536398,01-12-2010 10:52,19.8
13448,536398,01-12-2010 10:52,20.1
13448,536398,01-12-2010 10:52,15.8
13448,536398,01-12-2010 10:52,37.2
13448,536398,01-12-2010 10:52,44.55
13448,536398,01-12-2010 10:52,15
13448,536398,01-12-2010 10:52,44.55
17850,536399,01-12-2010 10:52,11.1
17850,536399,01-12-2010 10:52,11.1
13448,536400,01-12-2010 10:53,17.4
15862,536401,01-12-2010 11:21,2.55
15862,536401,01-12-2010 11:21,1.25
15862,536401,01-12-2010 11:21,2.5
15862,536401,01-12-2010 11:21,2.95
15862,536401,01-12-2010 11:21,3.35
15862,536401,01-12-2010 11:21,1.45
15862,536401,01-12-2010 11:21,1.25
15862,536401,01-12-2010 11:21,2.5
15862,536401,01-12-2010 11:21,1.65
15862,536401,01-12-2010 11:21,5.8
15862,536401,01-12-2010 11:21,1.25
15862,536401,01-12-2010 11:21,4.95
15862,536401,01-12-2010 11:21,7.5
15862,536401,01-12-2010 11:21,2.5
15862,536401,01-12-2010 11:21,19.9
15862,536401,01-12-2010 11:21,9.95
15862,536401,01-12-2010 11:21,5.95
15862,536401,01-12-2010 11:21,4.25
15862,536401,01-12-2010 11:21,14.85
15862,536401,01-12-2010 11:21,2.55
15862,536401,01-12-2010 11:21,2.95
15862,536401,01-12-2010 11:21,3.38
15862,536401,01-12-2010 11:21,7.95
15862,536401,01-12-2010 11:21,0.55
15862,536401,01-12-2010 11:21,0.55
15862,536401,01-12-2010 11:21,1.1
15862,536401,01-12-2010 11:21,11.8
15862,536401,01-12-2010 11:21,4.2
15862,536401,01-12-2010 11:21,2.1
15862,536401,01-12-2010 11:21,1.25
15862,536401,01-12-2010 11:21,0.85
15862,536401,01-12-2010 11:21,1.65
15862,536401,01-12-2010 11:21,2.95
15862,536401,01-12-2010 11:21,2.95
15862,536401,01-12-2010 11:21,2.5
15862,536401,01-12-2010 11:21,3.75
15862,536401,01-12-2010 11:21,1.25
15862,536401,01-12-2010 11:21,1.25
15862,536401,01-12-2010 11:21,3.3
15862,536401,01-12-2010 11:21,5.9
15862,536401,01-12-2010 11:21,5.9
15862,536401,01-12-2010 11:21,5.95
15862,536401,01-12-2010 11:21,1.25
15862,536401,01-12-2010 11:21,5.1
15862,536401,01-12-2010 11:21,7.65
15862,536401,01-12-2010 11:21,1.65
15862,536401,01-12-2010 11:21,11.8
15862,536401,01-12-2010 11:21,8.85
15862,536401,01-12-2010 11:21,5.95
15862,536401,01-12-2010 11:21,7.95
15862,536401,01-12-2010 11:21,1.65
15862,536401,01-12-2010 11:21,3.3
15862,536401,01-12-2010 11:21,1.65
15862,536401,01-12-2010 11:21,1.65
15862,536401,01-12-2010 11:21,12.75
15862,536401,01-12-2010 11:21,8.85
15862,536401,01-12-2010 11:21,8.85
15862,536401,01-12-2010 11:21,22.95
15862,536401,01-12-2010 11:21,16.95
15862,536401,01-12-2010 11:21,11.8
15862,536401,01-12-2010 11:21,10.65
15862,536401,01-12-2010 11:21,4.25
15862,536401,01-12-2010 11:21,13.9
15862,536401,01-12-2010 11:21,11.9
15513,536402,01-12-2010 11:22,102
15513,536402,01-12-2010 11:22,102
15513,536402,01-12-2010 11:22,153
12791,536403,01-12-2010 11:27,177.6
12791,536403,01-12-2010 11:27,15
16218,536404,01-12-2010 11:29,30
16218,536404,01-12-2010 11:29,15
16218,536404,01-12-2010 11:29,15
16218,536404,01-12-2010 11:29,15
16218,536404,01-12-2010 11:29,15
16218,536404,01-12-2010 11:29,19.8
16218,536404,01-12-2010 11:29,30.6
16218,536404,01-12-2010 11:29,15
16218,536404,01-12-2010 11:29,15
16218,536404,01-12-2010 11:29,15
16218,536404,01-12-2010 11:29,15
16218,536404,01-12-2010 11:29,15
16218,536404,01-12-2010 11:29,15
16218,536404,01-12-2010 11:29,10.2
16218,536404,01-12-2010 11:29,10.2
16218,536404,01-12-2010 11:29,10.2
16218,536404,01-12-2010 11:29,15
16218,536404,01-12-2010 11:29,15
16218,536404,01-12-2010 11:29,25.2
16218,536404,01-12-2010 11:29,13.2
16218,536404,01-12-2010 11:29,13.2
16218,536404,01-12-2010 11:29,13.2
16218,536404,01-12-2010 11:29,13.2
16218,536404,01-12-2010 11:29,13.2
16218,536404,01-12-2010 11:29,16.5
16218,536404,01-12-2010 11:29,16.5
16218,536404,01-12-2010 11:29,16.5
16218,536404,01-12-2010 11:29,39.6
14045,536405,01-12-2010 11:32,326.4
17850,536406,01-12-2010 11:33,20.4
17850,536406,01-12-2010 11:33,27.12
17850,536406,01-12-2010 11:33,22
17850,536406,01-12-2010 11:33,29.7
17850,536406,01-12-2010 11:33,6.36
17850,536406,01-12-2010 11:33,6.36
17850,536406,01-12-2010 11:33,19.8
17850,536406,01-12-2010 11:33,27.8
17850,536406,01-12-2010 11:33,12.6
17850,536406,01-12-2010 11:33,15.3
17850,536406,01-12-2010 11:33,20.34
17850,536406,01-12-2010 11:33,20.34
17850,536406,01-12-2010 11:33,15.3
17850,536406,01-12-2010 11:33,71.5
17850,536406,01-12-2010 11:33,25.5
17850,536407,01-12-2010 11:34,11.1
17850,536407,01-12-2010 11:34,11.1
14307,536408,01-12-2010 11:41,10.08
14307,536408,01-12-2010 11:41,10.08
14307,536408,01-12-2010 11:41,10.2
14307,536408,01-12-2010 11:41,19.8
14307,536408,01-12-2010 11:41,15
14307,536408,01-12-2010 11:41,15
14307,536408,01-12-2010 11:41,10.2
14307,536408,01-12-2010 11:41,23.4
14307,536408,01-12-2010 11:41,15.8
14307,536408,01-12-2010 11:41,15
14307,536408,01-12-2010 11:41,15
14307,536408,01-12-2010 11:41,12.6
14307,536408,01-12-2010 11:41,25.2
14307,536408,01-12-2010 11:41,20.4
14307,536408,01-12-2010 11:41,15
14307,536408,01-12-2010 11:41,11.4
14307,536408,01-12-2010 11:41,17.7
14307,536408,01-12-2010 11:41,19.8
14307,536408,01-12-2010 11:41,9.9
14307,536408,01-12-2010 11:41,15.9
14307,536408,01-12-2010 11:41,15.9
14307,536408,01-12-2010 11:41,19.8
14307,536408,01-12-2010 11:41,10.2
14307,536408,01-12-2010 11:41,13.52
14307,536408,01-12-2010 11:41,17.85
14307,536408,01-12-2010 11:41,17.85
14307,536408,01-12-2010 11:41,23.6
14307,536408,01-12-2010 11:41,30.6
14307,536408,01-12-2010 11:41,5.04
14307,536408,01-12-2010 11:41,10.5
14307,536408,01-12-2010 11:41,17
14307,536408,01-12-2010 11:41,17.85
14307,536408,01-12-2010 11:41,17.85
14307,536408,01-12-2010 11:41,22.5
14307,536408,01-12-2010 11:41,13.2
14307,536408,01-12-2010 11:41,17.4
14307,536408,01-12-2010 11:41,14.85
14307,536408,01-12-2010 11:41,19.8
14307,536408,01-12-2010 11:41,6.3
14307,536408,01-12-2010 11:41,5.04
14307,536408,01-12-2010 11:41,23.4
14307,536408,01-12-2010 11:41,15.3
14307,536408,01-12-2010 11:41,30.6
14307,536408,01-12-2010 11:41,16.5
14307,536408,01-12-2010 11:41,23.4
14307,536408,01-12-2010 11:41,15
14307,536408,01-12-2010 11:41,15
14307,536408,01-12-2010 11:41,19.8
17908,536409,01-12-2010 11:45,3.75
17908,536409,01-12-2010 11:45,6.75
17908,536409,01-12-2010 11:45,1.25
17908,536409,01-12-2010 11:45,1.65
17908,536409,01-12-2010 11:45,4.25
17908,536409,01-12-2010 11:45,3.75
17346,536551,01-12-2010 14:34,0.95
17346,536551,01-12-2010 14:34,1.7
17346,536551,01-12-2010 14:34,11.7
17346,536551,01-12-2010 14:34,8.5
17346,536551,01-12-2010 14:34,8.85
17346,536551,01-12-2010 14:34,9.3
17346,536551,01-12-2010 14:34,9.3
17908,536409,01-12-2010 11:45,10.5
17908,536409,01-12-2010 11:45,0.42
17908,536409,01-12-2010 11:45,1.25
17908,536409,01-12-2010 11:45,6.75
17346,536551,01-12-2010 14:34,4.95
17346,536551,01-12-2010 14:34,0.84
17346,536551,01-12-2010 14:34,2.95
17346,536551,01-12-2010 14:34,1.65
17346,536551,01-12-2010 14:34,1.65
17346,536551,01-12-2010 14:34,2.5
17346,536551,01-12-2010 14:34,2.5
17908,536409,01-12-2010 11:45,5.1
17841,536557,01-12-2010 14:41,3.75
17841,536557,01-12-2010 14:41,3.75
17841,536557,01-12-2010 14:41,1.25
17908,536409,01-12-2010 11:45,5.1
17908,536409,01-12-2010 11:45,2.95
12921,536561,01-12-2010 15:06,25.2
16274,536569,01-12-2010 15:35,2.55
17908,536409,01-12-2010 11:45,8.85
17908,536409,01-12-2010 11:45,3.9
17908,536409,01-12-2010 11:45,15
17908,536409,01-12-2010 11:45,5.88
17908,536409,01-12-2010 11:45,2.88
17908,536409,01-12-2010 11:45,5.95
17908,536409,01-12-2010 11:45,1.25
17908,536409,01-12-2010 11:45,1.65
17908,536409,01-12-2010 11:45,1.25
17908,536409,01-12-2010 11:45,7.8
17908,536409,01-12-2010 11:45,5.95
17908,536409,01-12-2010 11:45,1.65
17908,536409,01-12-2010 11:45,1.95
17908,536409,01-12-2010 11:45,2.5
17908,536409,01-12-2010 11:45,4.95
17908,536409,01-12-2010 11:45,12.7
17908,536409,01-12-2010 11:45,2.1
17908,536409,01-12-2010 11:45,2.1
17908,536409,01-12-2010 11:45,1.65
17908,536409,01-12-2010 11:45,4.35
17908,536409,01-12-2010 11:45,4.35
17908,536409,01-12-2010 11:45,2.52
17908,536409,01-12-2010 11:45,1.7
17908,536409,01-12-2010 11:45,3.9
17908,536409,01-12-2010 11:45,1.95
17908,536409,01-12-2010 11:45,1.25
17908,536409,01-12-2010 11:45,0.85
17908,536409,01-12-2010 11:45,2.95
17908,536409,01-12-2010 11:45,3.48
17908,536409,01-12-2010 11:45,4.95
17908,536409,01-12-2010 11:45,4.95
17920,536412,01-12-2010 11:49,4.95
17920,536412,01-12-2010 11:49,4.95
17920,536412,01-12-2010 11:49,2.95
17920,536412,01-12-2010 11:49,6.6
17920,536412,01-12-2010 11:49,4.95
17920,536412,01-12-2010 11:49,4.95
17920,536412,01-12-2010 11:49,2.95
17920,536412,01-12-2010 11:49,1.95
17920,536412,01-12-2010 11:49,1.95
17920,536412,01-12-2010 11:49,1.69
17920,536412,01-12-2010 11:49,1.69
17920,536412,01-12-2010 11:49,1.69
17920,536412,01-12-2010 11:49,1.69
17920,536412,01-12-2010 11:49,2.95
17920,536412,01-12-2010 11:49,8.25
17920,536412,01-12-2010 11:49,7.5
17920,536412,01-12-2010 11:49,39.8
17920,536412,01-12-2010 11:49,3.3
17920,536412,01-12-2010 11:49,14.7
17920,536412,01-12-2010 11:49,4.95
17920,536412,01-12-2010 11:49,4.95
17920,536412,01-12-2010 11:49,13.5
17920,536412,01-12-2010 11:49,4.25
17920,536412,01-12-2010 11:49,13.5
17920,536412,01-12-2010 11:49,1.65
17920,536412,01-12-2010 11:49,4.95
17920,536412,01-12-2010 11:49,5.9
17920,536412,01-12-2010 11:49,4.95
17920,536412,01-12-2010 11:49,7.5
17920,536412,01-12-2010 11:49,2.95
17920,536412,01-12-2010 11:49,7.95
12838,536415,01-12-2010 11:57,5.5
12838,536415,01-12-2010 11:57,14.75
12838,536415,01-12-2010 11:57,4.95
12838,536415,01-12-2010 11:57,4.95
12838,536415,01-12-2010 11:57,4.95
12838,536415,01-12-2010 11:57,4.25
12838,536415,01-12-2010 11:57,2.5
12838,536415,01-12-2010 11:57,14.75
12838,536415,01-12-2010 11:57,4.35
12838,536415,01-12-2010 11:57,2.95
12838,536415,01-12-2010 11:57,5.95
12838,536415,01-12-2010 11:57,8.25
12838,536415,01-12-2010 11:57,5.8
12838,536415,01-12-2010 11:57,5.1
12838,536415,01-12-2010 11:57,3.75
12838,536415,01-12-2010 11:57,10.5
12838,536415,01-12-2010 11:57,2.55
12838,536415,01-12-2010 11:57,8.4
12838,536415,01-12-2010 11:57,8.85
12838,536415,01-12-2010 11:57,4.35
12838,536415,01-12-2010 11:57,10.2
12838,536415,01-12-2010 11:57,4.25
12838,536415,01-12-2010 11:57,3.4
12838,536415,01-12-2010 11:57,5.1
12838,536415,01-12-2010 11:57,3.48
12838,536415,01-12-2010 11:57,7.5
12838,536415,01-12-2010 11:57,3.48
12838,536415,01-12-2010 11:57,1.25
12838,536415,01-12-2010 11:57,4.2
12838,536415,01-12-2010 11:57,5.85
12838,536415,01-12-2010 11:57,25.5
